ZONAS,UF: PARANÁ,IBGE,RESULTADO,CANDIDATO,VOTOS,LATITUDE SUL,LONGITUDE W-GR,LATITUDE_DECIMAL,LONGITUDE_DECIMAL
24,Jacarezinho,4111803,2663,MOYSÉS LUPION,1979,23 º 09 ' 38 '' S,49 º 58 ' 10 '' W,-23.160555555555554,-49.96944444444445
25,Cambara,4103602,1725,MOYSÉS LUPION,1276,23 º 02 ' 47 '' S,50 º 04 ' 25 '' W,-23.04638888888889,-50.07361111111111
25,Andira,4101101,811,MOYSÉS LUPION,716,23 º 03 ' 02 '' S,50 º 13 ' 44 '' W,-23.050555555555555,-50.22888888888889
25,Bandeirantes,4102406,1065,MOYSÉS LUPION,897,23 º 06 ' 36 '' S,50 º 22 ' 03 '' W,-23.110000000000003,-50.3675
25,Santa Mariana,4123907,514,MOYSÉS LUPION,395,23 º 09 ' 03 '' S,50 º 31 ' 07 '' W,-23.15083333333333,-50.51861111111111
26,Cornelio Procopio,4106407,1880,MOYSÉS LUPION,1104,23 º 10 ' 52 '' S,50 º 38 ' 48 '' W,-23.18111111111111,-50.64666666666667
27,Londrina,4113700,4316,MOYSÉS LUPION,2966,23 º 18 ' 37 '' S,51 º 09 ' 46 '' W,-23.310277777777777,-51.16277777777778
28,Apucarana,4101408,2142,MOYSÉS LUPION,1740,23 º 33 ' 03 '' S,51 º 27 ' 39 '' W,-23.550833333333333,-51.46083333333333
28,Caviuna,4122404,1885,MOYSÉS LUPION,1653,23 º 18 ' 35 '' S,51 º 22 ' 09 '' W,-23.309722222222224,-51.369166666666665
28,Mandaguari,4114203,197,MOYSÉS LUPION,170,23 º 32 ' 51 '' S,51 º 40 ' 15 '' W,-23.547500000000003,-51.670833333333334
29,Imbituva,4110102,1863,MOYSÉS LUPION,1029,25 º 13 ' 48 '' S,50 º 36 ' 16 '' W,-25.229999999999997,-50.60444444444445
30,Prudentopolis,4120606,1662,MOYSÉS LUPION,1551,25 º 12 ' 47 '' S,50 º 58 ' 40 '' W,-25.213055555555556,-50.97777777777778
31,Guarapuava,4109401,3624,MOYSÉS LUPION,2874,25 º 23 ' 43 '' S,51 º 27 ' 29 '' W,-25.39527777777778,-51.45805555555556
32,Palmas,4117602,1553,MOYSÉS LUPION,1264,26 º 29 ' 03 '' S,51 º 59 ' 26 '' W,-26.484166666666667,-51.99055555555556
33,Uniao Da Vitoria,4128203,3000,MOYSÉS LUPION,1737,26 º 13 ' 48 '' S,51 º 05 ' 11 '' W,-26.229999999999997,-51.08638888888889
34,Irati,4110706,2754,MOYSÉS LUPION,1798,25 º 28 ' 02 '' S,50 º 39 ' 04 '' W,-25.46722222222222,-50.651111111111106
34,Reboucas,4121505,1116,MOYSÉS LUPION,737,25 º 37 ' 14 '' S,50 º 41 ' 34 '' W,-25.620555555555555,-50.69277777777778
34,Rio Azul,4122008,1168,MOYSÉS LUPION,874,25 º 43 ' 58 '' S,50 º 47 ' 47 '' W,-25.732777777777777,-50.796388888888885
35,Assai,4101903,1300,MOYSÉS LUPION,813,23 º 22 ' 24 '' S,50 º 50 ' 29 '' W,-23.373333333333335,-50.84138888888889
35,Congonhinhas,4106001,699,MOYSÉS LUPION,600,23 º 33 ' 04 '' S,50 º 33 ' 13 '' W,-23.551111111111112,-50.55361111111111
35,Sao Jeronimo Da Serra,4124707,280,MOYSÉS LUPION,263,23 º 43 ' 39 '' S,50 º 44 ' 28 '' W,-23.7275,-50.74111111111111
36,Ipiranga,4110508,1649,MOYSÉS LUPION,1293,25 º 01 ' 26 '' S,50 º 35 ' 03 '' W,-25.023888888888887,-50.58416666666667
37,Malle,4113908,1944,MOYSÉS LUPION,1332,25 º 52 ' 40 '' S	,50 º 49 ' 16 '' W,-25.87777777777778,-50.821111111111115
38,Pitanga,4119608,1313,MOYSÉS LUPION,717,24 º 45 ' 26 '' S,51 º 45 ' 41 '' W,-24.75722222222222,-51.76138888888889
39,Reserva,4121703,1445,MOYSÉS LUPION,1325,24 º 39 ' 01 '' S,50 º 51 ' 02 '' W,-24.650277777777777,-50.85055555555556
40,Sertanopolis,4126504,1390,MOYSÉS LUPION,1066,23 º 03 ' 31 '' S,51 º 02 ' 11 '' W,-23.058611111111112,-51.03638888888889
40,Ibipora,4109807,558,MOYSÉS LUPION,384,23 º 16 ' 09 '' S,51 º 02 ' 53 '' W,-23.269166666666667,-51.04805555555556
40,Porecatu,4120002,321,MOYSÉS LUPION,262,22 º 45 ' 21 '' S,51 º 22 ' 45 '' W,-22.75583333333333,-51.37916666666667
40,Bela Vista Do Paraiso,4102802,267,MOYSÉS LUPION,196,22 º 59 ' 48 '' S,51 º 11 ' 26 '' W,-22.996666666666666,-51.190555555555555
40,Jaguapita,4111902,342,MOYSÉS LUPION,235,23 º 06 ' 46 '' S,51 º 31 ' 55 '' W,-23.11277777777778,-51.53194444444444
41,Laranjeiras Do Sul,4113304,1245,MOYSÉS LUPION,1241,25 º 24 ' 28 '' S,52 º 24 ' 58 '' W,-25.407777777777778,-52.41611111111111
42,Foz Do Iguacu,4108304,556,MOYSÉS LUPION,520,25 º 32 ' 52 '' S,54 º 35 ' 17 '' W,-25.547777777777778,-54.588055555555556
43,Clevelandia,4105706,1469,MOYSÉS LUPION,1239,26 º 23 ' 45 '' S,52 º 28 ' 15 '' W,-26.395833333333332,-52.47083333333334
1 A 4,Curitiba,4106902,29146,BENTO MUNHOZ DA ROCHA NETO,14842,25 º 25 ' 40 '' S,49 º 16 ' 23 '' W,-25.42777777777778,-49.27305555555555
1,Imbuial,4103107,716,BENTO MUNHOZ DA ROCHA NETO,137,25 º 17 ' 30 '' S        ,49 º 13 ' 27 '' W,-25.291666666666668,-49.22416666666667
2,Colombo,4104006,861,BENTO MUNHOZ DA ROCHA NETO,449,25 º 17 ' 30 '' S,49 º 13 ' 27 '' W,-25.291666666666668,-49.22416666666667
